Aaronsburg,PA,40.9184,-77.3786
Abbeville,AL,31.5951,-85.2108
Abbeville,GA,31.9890,-83.3217
Abbeville,LA,29.9124,-92.2110
Abbeville,MS,34.4771,-89.4450
Abbeville,SC,34.1621,-82.4333
Abbot,ME,45.2275,-69.5548
Abbotsford,WI,44.9672,-90.2976
Abbott,TX,31.8801,-97.0901
Abbottstown,PA,39.8951,-76.9767
Abbyville,KS,37.9992,-98.2063
Abell,MD,38.2504,-76.7318
Abercrombie,ND,46.4164,-96.7157
Aberdeen Proving Ground,MD,39.4738,-76.1288
Aberdeen,ID,43.0994,-112.8447
Aberdeen,KY,37.2536,-86.6847
Aberdeen,MD,39.4984,-76.1966
Aberdeen,MS,33.8524,-88.5337
Aberdeen,NC,35.1060,-79.4507
Aberdeen,OH,38.6999,-83.7453
Aberdeen,SD,45.4819,-98.5064
Aberdeen,WA,46.8841,-123.9950
Abernant,AL,33.2926,-87.1979
Abernathy,TX,33.8828,-101.8891
Abie,NE,41.3291,-96.9491
Abilene,KS,39.0279,-97.2213
Abilene,TX,32.4131,-99.7863
Abingdon,IL,40.8014,-90.4052
Abingdon,MD,39.4738,-76.2894
Abingdon,VA,36.7162,-82.0030
Abington,CT,41.8465,-72.0137
Abington,MA,42.1193,-70.9590
Abington,PA,40.1239,-75.1264
Abiquiu,NM,36.2467,-106.3767
Abita Springs,LA,30.4904,-89.9549
Abrams,WI,44.7995,-88.0729
Absaraka,ND,46.7533,-97.1138
Absarokee,MT,45.5038,-109.5674
Absecon,NJ,39.4554,-74.4875
Acampo,CA,38.1943,-121.2497
Accident,MD,39.6154,-79.3018
Accokeek,MD,38.6591,-77.0367
Accomac,VA,37.7022,-75.6592
Accord,MA,42.1757,-70.8869
Accord,NY,41.8182,-74.2381
Accoville,WV,37.7660,-81.8351
Ace,TX,30.5200,-94.8105
Achille,OK,33.9246,-96.2651
Achilles,VA,37.2812,-76.4410
Ackerly,TX,32.5001,-101.7606
Ackerman,MS,33.3290,-89.2119
Ackermanville,PA,40.8658,-75.1780
Ackley,IA,42.5786,-93.0665
Ackworth,IA,41.3635,-93.4347
Acme,LA,31.2607,-91.7545
Acme,MI,44.7930,-85.4946
Acme,PA,40.1367,-79.4133
Acme,WA,48.7030,-122.1920
Acosta,PA,40.1108,-79.0717
Acra,NY,42.2781,-74.0856
Acton,CA,34.4904,-118.2196
Acton,MA,42.4853,-71.4419
Acton,ME,43.5350,-70.9169
Acton,MT,45.9804,-108.6844
Acushnet,MA,41.7138,-70.8997
Acworth,GA,34.0650,-84.6686
Acworth,NH,43.2334,-72.2962
Ada,MI,43.0314,-85.5503
Ada,MN,47.3493,-96.4744
Ada,OH,40.7726,-83.8040
Ada,OK,34.8058,-96.7046
Adah,PA,39.9099,-79.9104
Adair,IA,41.5100,-94.6555
Adair,IL,40.3996,-90.5049
Adair,OK,36.4324,-95.2624
Adairsville,GA,34.3692,-84.9293
Adairville,KY,36.6951,-86.8594
Adak,AK,51.9015,-176.6776
Adamant,VT,44.3476,-72.4883
Adams Basin,NY,43.1922,-77.8555
Adams Center,NY,43.8638,-76.0048
Adams Run,SC,32.8037,-80.3786
Adams,KY,38.0717,-82.7388
Adams,MA,42.6271,-73.1187
Adams,MN,43.5721,-92.7289
Adams,ND,48.4124,-98.1338
Adams,NE,40.4868,-96.5272
Adams,NY,43.8127,-76.0448
Adams,OK,36.8299,-101.1553
Adams,OR,45.7173,-118.4878
Adams,TN,36.5608,-87.1040
Adams,WI,43.8890,-89.8355
Adamsburg,PA,40.3002,-79.6478
Adamstown,MD,39.2984,-77.4543
Adamstown,PA,40.2421,-76.0604
Adamsville,AL,33.5791,-86.9939
Adamsville,OH,40.0931,-81.8594
Adamsville,PA,41.5058,-80.3912
Adamsville,RI,41.5440,-71.1378
Adamsville,TN,35.2431,-88.4152
Addieville,IL,38.3839,-89.4797
Addington,OK,34.2520,-97.8838
Addis,LA,30.3490,-91.2855
Addison,AL,34.2285,-87.1775
Addison,IL,41.9310,-88.0090
Addison,ME,44.5703,-67.6961
Addison,MI,41.9943,-84.3386
Addison,NY,42.1024,-77.2983
Addison,PA,39.7646,-79.3560
Addison,TX,32.9603,-96.8300
Addy,WA,48.3297,-117.9116
Addyston,OH,39.1345,-84.7076
Adel,GA,31.1265,-83.4408
Adel,IA,41.6259,-94.0427
Adel,OR,42.1081,-119.8562
Adelanto,CA,34.6647,-117.5121
Adell,WI,43.6011,-88.0507
Adelphi,OH,39.4649,-82.7483
Adelphia,NJ,40.2141,-74.2622
Adena,OH,40.2148,-80.8482
Adger,AL,33.4326,-87.2309
Adin,CA,41.1539,-120.8978
Adirondack,NY,43.7377,-73.7705
Adkins,TX,29.3412,-98.2343
Admire,KS,38.5822,-96.0868
Adna,WA,46.5741,-123.2968
Adolph,MN,47.6404,-92.4428
Adolphus,KY,36.6816,-86.2548
Adona,AR,35.0685,-92.8659
Adrian,GA,32.5405,-82.5775
Adrian,MI,41.8934,-84.0659
Adrian,MN,43.6234,-95.9476
Adrian,MO,38.4057,-94.3164
Adrian,OR,43.5988,-117.1066
Adrian,PA,40.8942,-79.5231
Adrian,TX,35.1967,-102.7839
Adrian,WV,38.9001,-80.2615
Advance,IN,39.9968,-86.6205
Advance,MO,37.0934,-89.8851
Advance,NC,35.9446,-80.4391
Advent,WV,38.8249,-81.7066
Afton,IA,41.0344,-94.2016
Afton,MI,45.3606,-84.4745
Afton,MN,44.9014,-92.8150
Afton,NY,42.2546,-75.5550
Afton,OK,36.6296,-94.9432
Afton,TN,36.2211,-82.7738
Afton,TX,33.7450,-100.7342
Afton,VA,37.9775,-78.7888
Afton,WI,42.6026,-89.0685
Afton,WY,42.7007,-110.8560
Agar,SD,44.8247,-100.1710
Agate,CO,39.4025,-104.0437
Agawam,MA,42.0655,-72.6271
Agency,IA,40.9883,-92.2684
Agency,MO,39.6314,-94.7091
Agenda,KS,39.7189,-97.4769
Ages Brookside,KY,36.8619,-83.3641
Agness,OR,42.5970,-124.0101
Agoura Hills,CA,34.1268,-118.7648
Agra,KS,39.8252,-99.1226
Agra,OK,35.8839,-96.8707
Agua Dulce,TX,27.7825,-97.9090
Aguanga,CA,33.5040,-116.8193
Aguila,AZ,33.9277,-113.1766
Aguilar,CO,37.4541,-104.5826
Ahmeek,MI,47.2954,-88.3959
Ahoskie,NC,36.2868,-77.0180
Ahsahka,ID,46.5294,-116.3070
Ahwahnee,CA,37.3961,-119.7345
Aiea,HI,21.4094,-157.8982
Aiken,SC,33.5671,-81.6594
Aiken,TX,34.1199,-101.4460
Ailey,GA,32.1969,-82.5154
Aimwell,LA,31.7812,-91.9784
Ainsworth,IA,41.3314,-91.5515
Ainsworth,NE,42.4365,-99.9152
Airville,PA,39.8132,-76.4173
Airway Heights,WA,47.6504,-117.6163
Aitkin,MN,46.5278,-93.6123
Ajo,AZ,32.1595,-112.6223
Akaska,SD,45.2974,-100.1728
Akeley,MN,46.9726,-94.6888
Akers,LA,30.6124,-90.4053
Akiachak,AK,60.8755,-161.4255
Akiak,AK,60.8790,-161.1902
Akin,IL,37.9892,-88.7546
Akron,AL,32.8631,-87.7285
Akron,CO,40.0735,-103.1681
Akron,IA,42.8154,-96.4837
Akron,IN,41.0414,-86.0378
Akron,MI,43.5953,-83.5568
Akron,NY,43.0334,-78.5068
Akron,OH,41.1287,-81.5400
Akron,PA,40.1567,-76.2033
Akutan,AK,54.1308,-165.8839
Alabaster,AL,33.2240,-86.7730
Alachua,FL,29.8142,-82.4909
Aladdin,WY,44.7715,-104.2715
Alakanuk,AK,62.4491,-164.3887
Alamance,NC,36.0265,-79.4859
Alameda,CA,37.7534,-122.2604
Alamo,CA,37.8495,-121.9764
Alamo,GA,32.1252,-82.7596
Alamo,IN,39.9728,-87.0297
Alamo,ND,48.5975,-103.4718
Alamo,NV,37.2715,-115.2084
Alamo,TN,35.8168,-89.1612
Alamo,TX,26.1451,-98.1197
Alamogordo,NM,32.8426,-105.9891
Alamosa,CO,37.4625,-105.7804
Alanreed,TX,35.4330,-100.7436
Alanson,MI,45.4032,-84.7280
Alapaha,GA,31.3731,-83.1806
Alaska Peninsula Nwr,AK,57.1588,-154.0800
Alba,MI,44.9581,-84.8998
Alba,MO,37.2356,-94.4167
Alba,PA,41.7056,-76.8288
Alba,TX,32.7948,-95.6360
Albany,CA,37.8895,-122.2947
Albany,GA,30.8887,-84.6178
Albany,IL,41.7339,-90.2033
Albany,IN,40.2775,-85.2732
Albany,KY,36.7515,-85.1201
Albany,LA,30.5260,-90.6028
Albany,MN,45.6365,-94.5899
Albany,MO,40.2417,-94.3302
Albany,NY,42.6149,-73.9708
Albany,OH,39.2018,-82.2047
Albany,OK,33.8791,-96.1634
Albany,OR,44.6307,-123.0687
Albany,TX,32.7708,-99.2640
Albany,VT,44.7408,-72.3745
Albany,WI,42.7282,-89.4400
